     0.000     1.000     1.000
     0.002     1.000     1.013
     0.004     1.000     1.025
     0.006     1.000     1.037
     0.008     0.999     1.050
     0.010     0.999     1.062
     0.012     0.999     1.074
     0.014     0.998     1.086
     0.016     0.998     1.099
     0.018     0.998     1.111
     0.020     0.997     1.123
     0.022     0.997     1.135
     0.024     0.996     1.147
     0.026     0.995     1.158
     0.028     0.995     1.170
     0.030     0.994     1.182
     0.032     0.993     1.194
     0.034     0.992     1.205
     0.036     0.991     1.217
     0.038     0.990     1.229
     0.040     0.990     1.240
     0.042     0.989     1.252
     0.044     0.988     1.263
     0.046     0.986     1.274
     0.048     0.985     1.286
     0.050     0.984     1.297
     0.052     0.983     1.308
     0.054     0.982     1.319
     0.056     0.981     1.330
     0.058     0.979     1.342
     0.060     0.978     1.353
     0.062     0.977     1.364
     0.064     0.975     1.375
     0.066     0.974     1.385
     0.068     0.972     1.396
     0.070     0.971     1.407
     0.072     0.969     1.418
     0.074     0.968     1.429
     0.076     0.966     1.439
     0.078     0.965     1.450
     0.080     0.963     1.460
     0.082     0.962     1.471
     0.084     0.960     1.482
     0.086     0.958     1.492
     0.088     0.956     1.502
     0.090     0.955     1.513
     0.092     0.953     1.523
     0.094     0.951     1.533
     0.096     0.949     1.544
     0.098     0.947     1.554
     0.100     0.946     1.564
     0.102     0.944     1.574
     0.104     0.942     1.584
     0.106     0.940     1.594
     0.108     0.938     1.604
     0.110     0.936     1.614
     0.112     0.934     1.624
     0.114     0.932     1.634
     0.116     0.930     1.644
     0.118     0.927     1.654
     0.120     0.925     1.664
     0.122     0.923     1.673
     0.124     0.921     1.683
     0.126     0.919     1.693
     0.128     0.917     1.702
     0.130     0.915     1.712
     0.132     0.912     1.722
     0.134     0.910     1.731
     0.136     0.908     1.741
     0.138     0.905     1.750
     0.140     0.903     1.759
     0.142     0.901     1.769
     0.144     0.898     1.778
     0.146     0.896     1.787
     0.148     0.894     1.797
     0.150     0.891     1.806
     0.152     0.889     1.815
     0.154     0.886     1.824
     0.156     0.884     1.833
     0.158     0.882     1.842
     0.160     0.879     1.852
     0.162     0.877     1.861
     0.164     0.874     1.870
     0.166     0.871     1.879
     0.168     0.869     1.887
     0.170     0.866     1.896
     0.172     0.864     1.905
     0.174     0.861     1.914
     0.176     0.859     1.923
     0.178     0.856     1.932
     0.180     0.853     1.940
     0.182     0.851     1.949
     0.184     0.848     1.958
     0.186     0.845     1.966
     0.188     0.843     1.975
     0.190     0.840     1.983
     0.192     0.837     1.992
     0.194     0.834     2.000
     0.196     0.832     2.009
     0.198     0.829     2.017
     0.200     0.826     2.026
     0.202     0.823     2.034
     0.204     0.821     2.043
     0.206     0.818     2.051
     0.208     0.815     2.059
     0.210     0.812     2.067
     0.212     0.809     2.076
     0.214     0.806     2.084
     0.216     0.804     2.092
     0.218     0.801     2.100
     0.220     0.798     2.108
     0.222     0.795     2.116
     0.224     0.792     2.124
     0.226     0.789     2.132
     0.228     0.786     2.140
     0.230     0.783     2.148
     0.232     0.780     2.156
     0.234     0.777     2.164
     0.236     0.774     2.172
     0.238     0.771     2.180
     0.240     0.768     2.188
     0.242     0.765     2.196
     0.244     0.762     2.203
     0.246     0.759     2.211
     0.248     0.756     2.219
     0.250     0.753     2.227
     0.252     0.750     2.234
     0.254     0.747     2.242
     0.256     0.744     2.250
     0.258     0.741     2.257
     0.260     0.738     2.265
     0.262     0.735     2.272
     0.264     0.732     2.280
     0.266     0.729     2.287
     0.268     0.725     2.295
     0.270     0.722     2.302
     0.272     0.719     2.309
     0.274     0.716     2.317
     0.276     0.713     2.324
     0.278     0.710     2.332
     0.280     0.707     2.339
     0.282     0.703     2.346
     0.284     0.700     2.353
     0.286     0.697     2.361
     0.288     0.694     2.368
     0.290     0.691     2.375
     0.292     0.687     2.382
     0.294     0.684     2.389
     0.296     0.681     2.396
     0.298     0.678     2.403
     0.300     0.674     2.410
     0.302     0.671     2.417
     0.304     0.668     2.424
     0.306     0.665     2.431
     0.308     0.661     2.438
     0.310     0.658     2.445
     0.312     0.655     2.452
     0.314     0.652     2.459
     0.316     0.648     2.466
     0.318     0.645     2.473
     0.320     0.642     2.480
     0.322     0.638     2.486
     0.324     0.635     2.493
     0.326     0.632     2.500
     0.328     0.628     2.507
     0.330     0.625     2.513
     0.332     0.622     2.520
     0.334     0.618     2.527
     0.336     0.615     2.533
     0.338     0.612     2.540
     0.340     0.608     2.546
     0.342     0.605     2.553
     0.344     0.602     2.560
     0.346     0.598     2.566
     0.348     0.595     2.573
     0.350     0.591     2.579
     0.352     0.588     2.586
     0.354     0.585     2.592
     0.356     0.581     2.598
     0.358     0.578     2.605
     0.360     0.574     2.611
     0.362     0.571     2.617
     0.364     0.568     2.624
     0.366     0.564     2.630
     0.368     0.561     2.636
     0.370     0.557     2.643
     0.372     0.554     2.649
     0.374     0.550     2.655
     0.376     0.547     2.661
     0.378     0.544     2.667
     0.380     0.540     2.674
     0.382     0.537     2.680
     0.384     0.533     2.686
     0.386     0.530     2.692
     0.388     0.526     2.698
     0.390     0.523     2.704
     0.392     0.519     2.710
     0.394     0.516     2.716
     0.396     0.512     2.722
     0.398     0.509     2.728
     0.400     0.505     2.734
     0.402     0.502     2.740
     0.404     0.498     2.746
     0.406     0.495     2.752
     0.408     0.491     2.758
     0.410     0.488     2.763
     0.412     0.484     2.769
     0.414     0.481     2.775
     0.416     0.477     2.781
     0.418     0.474     2.787
     0.420     0.470     2.792
     0.422     0.467     2.798
     0.424     0.463     2.804
     0.426     0.459     2.809
     0.428     0.456     2.815
     0.430     0.452     2.821
     0.432     0.449     2.826
     0.434     0.445     2.832
     0.436     0.442     2.838
     0.438     0.438     2.843
     0.440     0.435     2.849
     0.442     0.431     2.854
     0.444     0.427     2.860
     0.446     0.424     2.865
     0.448     0.420     2.871
     0.450     0.417     2.876
     0.452     0.413     2.882
     0.454     0.410     2.887
     0.456     0.406     2.893
     0.458     0.402     2.898
     0.460     0.399     2.903
     0.462     0.395     2.909
     0.464     0.392     2.914
     0.466     0.388     2.919
     0.468     0.384     2.925
     0.470     0.381     2.930
     0.472     0.377     2.935
     0.474     0.374     2.940
     0.476     0.370     2.946
     0.478     0.366     2.951
     0.480     0.363     2.956
     0.482     0.359     2.961
     0.484     0.356     2.966
     0.486     0.352     2.971
     0.488     0.348     2.977
     0.490     0.345     2.982
     0.492     0.341     2.987
     0.494     0.337     2.992
     0.496     0.334     2.997
     0.498     0.330     3.002
     0.500     0.327     3.007
     0.502     0.323     3.012
     0.504     0.319     3.017
     0.506     0.316     3.022
     0.508     0.312     3.027
     0.510     0.308     3.032
     0.512     0.305     3.037
     0.514     0.301     3.042
     0.516     0.297     3.047
     0.518     0.294     3.051
     0.520     0.290     3.056
     0.522     0.286     3.061
     0.524     0.283     3.066
     0.526     0.279     3.071
     0.528     0.275     3.075
     0.530     0.272     3.080
     0.532     0.268     3.085
     0.534     0.264     3.090
     0.536     0.261     3.094
     0.538     0.257     3.099
